	ggal_miRb21_bbmap_1	ggal_miRb21_bbmap_10	ggal_miRb21_bbmap_11	ggal_miRb21_bbmap_12	ggal_miRb21_bbmap_2	ggal_miRb21_bbmap_3	ggal_miRb21_bbmap_4	ggal_miRb21_bbmap_5	ggal_miRb21_bbmap_6	ggal_miRb21_bbmap_7	ggal_miRb21_bbmap_8	ggal_miRb21_bbmap_9
gga-miR-130a	0	0	1	1	1	0	2	0	0	0	0	0
gga-miR-19b	33	24	61	125	52	48	110	66	46	3	15	46
gga-miR-1550	1	0	5	3	6	1	0	0	3	1	2	1
gga-miR-7448	0	0	0	0	0	0	0	0	0	0	0	0
gga-let-7g	49	17	29	40	88	87	34	40	15	8	38	30
gga-miR-153	3690	684	1923	3627	2912	2271	3550	3215	1945	578	1129	2377
gga-miR-1604	0	0	0	1	0	1	0	0	0	0	0	0
gga-miR-1773	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-122b	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-199	5516	2417	4661	9088	6792	5028	7346	7061	7010	1938	6213	4363
gga-let-7c	29	20	37	52	47	103	33	22	9	11	73	38
gga-miR-6553	0	0	0	3	1	2	2	0	0	0	1	0
gga-miR-1647	0	0	1	0	0	0	0	0	0	0	0	0
gga-miR-6685	1	1	1	1	0	2	2	0	2	0	1	1
gga-miR-7b	1	5	26	16	1	2	26	28	0	0	0	26
gga-miR-1703	0	0	0	0	0	3	0	0	0	0	0	0
gga-miR-1651	2	2	1	5	5	7	4	3	2	0	0	1
gga-miR-6565	2	0	2	0	9	5	3	1	2	2	3	2
gga-miR-124c	0	0	0	0	0	0	0	0	0	0	1	0
gga-miR-1576	0	0	0	0	0	0	0	0	2	0	1	0
gga-miR-7460	3	0	0	1	0	2	0	0	0	0	3	0
gga-miR-429	21	9	20	11	46	10	28	11	30	18	23	45
gga-miR-6516	19	9	13	13	30	20	17	10	6	3	17	20
gga-miR-1667	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6544	2	0	1	1	1	1	0	2	0	0	0	1
gga-miR-6561	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1709	0	0	0	0	0	0	0	0	0	0	0	0
