gene_id,UP_90_10_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_11_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_12_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_1_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_2_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_3_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_4_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_5_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_6_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_7_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_8_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_9_IonXpressRNA.Aligned.sortedByCoord.out
ENSGALG00000045132,678,1320,674,1054,674,1713,889,570,1559,700,764,949
ENSGALG00000032250,151,324,162,165,146,328,119,206,460,330,196,157
ENSGALG00000032257,1503,2738,1351,2257,1036,3233,1789,1062,3063,1351,1833,2010
ENSGALG00000032259,174,416,102,202,201,149,128,223,272,360,171,161
ENSGALG00000041932,2,6,1,2,4,2,6,1,2,19,8,3
ENSGALG00000041934,2895,5983,3066,4215,2455,7673,3558,3160,6186,2770,3826,4060
ENSGALG00000041938,0,1,0,1,0,0,0,0,0,0,1,0
ENSGALG00000041939,225,353,151,205,165,350,178,226,436,234,174,303
ENSGALG00000032922,656,1402,333,587,514,1293,527,543,900,878,462,858
ENSGALG00000032925,1129,2234,975,1448,1089,2477,1171,804,1725,1034,1126,1263
ENSGALG00000019835,38,75,12,13,15,194,2,2,15,31,4,30
ENSGALG00000002467,359,307,142,762,573,759,1201,507,2265,694,726,478
ENSGALG00000002466,123,219,95,156,45,274,88,61,182,98,115,99
ENSGALG00000002463,2359,3922,1118,1771,1620,4142,1704,1840,3480,2179,1624,2079
ENSGALG00000002461,541,1004,209,369,303,302,317,385,672,733,464,356
ENSGALG00000002469,999,1482,882,1997,573,3269,1577,1028,1426,581,1178,1294
ENSGALG00000038440,45,51,25,69,27,96,43,92,35,29,40,35
ENSGALG00000038448,2,2,1,2,1,3,1,1,2,1,1,2
ENSGALG00000030270,59,150,68,45,64,284,34,46,58,93,17,18
ENSGALG00000030276,309,452,221,386,173,1509,310,216,491,256,304,272
ENSGALG00000003734,1199,2446,1217,1697,1107,2942,1321,1198,2103,1234,1299,1348
ENSGALG00000003736,167,269,105,183,142,264,226,159,451,126,143,232
ENSGALG00000003731,237,334,149,266,184,499,295,258,563,572,262,212
ENSGALG00000003732,1643,2812,1101,2012,1244,2810,1503,1071,2410,1434,1475,1722
ENSGALG00000003733,3507,4353,3523,21899,5322,13116,16435,4057,10997,3503,12761,6587
ENSGALG00000003738,1038,1510,781,1605,592,2539,1408,1294,1149,684,1102,1282
ENSGALG00000027179,2,4,2,7,3,11,3,0,2,2,1,1
ENSGALG00000027170,258,346,151,3,1,618,1,267,1,1,3,348
ENSGALG00000027173,215,758,539,438,229,960,376,544,383,279,423,721
ENSGALG00000054059,206,249,125,566,175,745,298,270,243,129,302,246
ENSGALG00000054058,3,1,5,5,2,9,0,0,6,3,2,3
ENSGALG00000025998,1,3,2,1,3,1,1,1,0,0,2,1
ENSGALG00000025999,1857,4778,1934,2475,1106,3335,1889,2182,2136,1266,3080,3628
ENSGALG00000054051,0,0,0,0,0,1,1,0,1,0,0,0
ENSGALG00000020747,309,615,273,329,214,544,250,219,377,208,225,241
ENSGALG00000054053,1,1,1,1,1,1,1,0,1,1,1,1
ENSGALG00000020745,56,164,40,70,15,128,64,34,106,56,99,147
ENSGALG00000020742,267,379,111,235,268,575,278,199,585,343,190,233
ENSGALG00000054054,2,4,0,35,0,20,15,12,10,1,5,2
ENSGALG00000054057,208,223,148,249,101,393,222,72,197,94,212,258
ENSGALG00000054056,0,1,0,0,0,0,1,0,0,1,1,0
ENSGALG00000027287,289,502,270,163,119,545,184,411,640,256,252,439
ENSGALG00000027285,1,1,1,2,1,1,1,1,1,2,1,2
ENSGALG00000053588,1,1,0,2,0,1,1,0,1,1,1,2
ENSGALG00000053589,0,0,0,0,0,0,1,0,0,0,0,0
ENSGALG00000053586,0,0,0,0,0,0,0,0,0,1,0,0
ENSGALG00000053587,1,0,0,1,0,5,0,0,1,0,1,0
ENSGALG00000053584,8,12,10,4,1,22,5,31,5,4,9,16
ENSGALG00000053585,12,15,3,16,11,21,10,1,18,20,8,6
ENSGALG00000053582,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053583,478,1187,528,319,283,876,221,381,711,418,255,524
ENSGALG00000053580,0,9,0,9,0,0,0,0,0,0,2,10
ENSGALG00000053581,3,2,0,2,1,8,9,1,2,3,2,1
ENSGALG00000054583,45,88,2,10,55,18,3,6,21,131,11,44
ENSGALG00000054582,7,7,1,10,6,7,4,16,4,8,5,4
ENSGALG00000054581,0,1,0,0,1,0,0,0,2,2,0,1
ENSGALG00000054580,0,1,0,1,1,0,0,0,0,0,4,0
ENSGALG00000054587,2,3,2,3,1,3,1,1,2,4,5,1
ENSGALG00000054586,1,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054585,10,1,0,7,0,10,6,0,1,8,9,20
ENSGALG00000054584,6,0,0,7,0,20,0,0,0,2,7,4
ENSGALG00000054589,0,0,0,0,0,1,0,0,0,0,0,0
ENSGALG00000054588,4,7,0,1,0,0,0,0,0,0,0,0
ENSGALG00000028569,1,3,3,1,0,1,0,7,8,0,1,1
ENSGALG00000008920,850,1485,715,1009,789,1584,965,909,1445,782,763,1059
ENSGALG00000008925,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000008926,426,532,249,574,362,860,362,437,426,357,279,449
ENSGALG00000051169,350,450,199,127,67,336,126,112,286,189,168,238
ENSGALG00000024488,695,1248,536,702,224,1813,715,388,1088,409,613,619
ENSGALG00000024485,189,208,120,220,113,511,256,191,195,104,119,191
ENSGALG00000024486,7630,12678,5814,11444,4928,15447,8828,8868,9843,4398,9443,13606
ENSGALG00000024481,100,197,155,188,107,346,121,79,142,75,144,126
ENSGALG00000024480,1411,2543,955,1720,931,3185,1356,1299,2043,844,1171,1624
ENSGALG00000024482,725,1200,619,1493,480,1914,907,777,756,337,800,1048
