gene_id,UP_90_10_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_11_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_12_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_1_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_2_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_3_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_4_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_5_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_6_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_7_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_8_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_9_IonXpressRNA.Aligned.sortedByCoord.out
ENSGALG00000052308,11,6,3,10,5,6,5,0,5,12,2,13
ENSGALG00000001950,1133,1857,779,1855,706,3357,1435,1074,1639,860,1148,1269
ENSGALG00000001951,151,216,87,136,45,650,59,70,201,94,99,105
ENSGALG00000052822,1,2,0,13,0,22,0,1,17,1,14,4
ENSGALG00000052823,1,0,0,3,1,1,1,1,0,1,0,0
ENSGALG00000052820,1,1,1,6,2,6,1,1,8,1,1,0
ENSGALG00000052821,1,2,0,1,1,1,1,1,1,1,1,1
ENSGALG00000052826,2,4,2,3,2,3,5,2,2,2,2,1
ENSGALG00000052827,1,1,0,2,0,0,0,0,3,1,3,0
ENSGALG00000052824,44,48,29,14,0,0,1,11,80,39,25,25
ENSGALG00000052825,676,1029,418,390,320,741,364,428,852,409,322,505
ENSGALG00000052828,12,50,6,17,13,13,51,2,27,19,8,17
ENSGALG00000052829,9,6,8,6,1,33,11,0,19,5,5,3
ENSGALG00000051737,21,35,16,25,21,15,21,30,34,43,14,15
ENSGALG00000051736,4,23,0,17,9,42,5,12,4,4,11,28
ENSGALG00000051735,0,0,0,0,0,0,0,0,1,0,0,0
ENSGALG00000051734,160,105,0,1,98,26,0,55,6,192,0,82
ENSGALG00000051733,29,13,2,59,21,54,38,29,91,11,34,59
ENSGALG00000051732,1,1,0,1,0,1,1,0,1,1,1,1
ENSGALG00000051731,9,13,13,59,27,38,9,8,42,6,19,11
ENSGALG00000051730,75,190,66,174,90,194,97,43,267,67,133,85
ENSGALG00000051739,21,9,7,73,13,102,37,8,10,4,25,12
ENSGALG00000051738,1,1,0,1,0,0,0,0,1,1,0,1
ENSGALG00000049417,3,7,1,4,0,7,1,0,2,6,3,1
ENSGALG00000049416,1,1,1,1,0,1,1,1,0,1,1,0
ENSGALG00000049415,1,1,0,1,1,1,1,0,0,1,0,1
ENSGALG00000049414,2,1,0,1,1,1,10,0,1,1,2,0
ENSGALG00000049413,68,46,59,79,40,138,72,17,138,49,61,90
ENSGALG00000049412,59,88,23,60,55,120,105,17,104,67,81,52
ENSGALG00000049411,366,401,252,235,221,388,225,315,366,212,254,226
ENSGALG00000049410,2,1,4,3,1,0,1,0,2,2,4,2
ENSGALG00000049419,0,1,0,4,3,1,0,0,0,1,2,0
ENSGALG00000049418,0,1,0,1,0,0,0,1,0,1,1,0
ENSGALG00000029056,57,107,22,46,34,379,52,22,30,32,26,25
ENSGALG00000046015,0,2,1,3,1,2,1,0,13,2,2,0
ENSGALG00000045740,10,43,0,0,0,0,0,0,16,16,13,0
ENSGALG00000045747,123,216,99,260,94,114,80,130,135,247,147,160
ENSGALG00000037065,319,265,143,633,356,718,655,161,804,620,386,301
ENSGALG00000037064,1,0,0,1,0,1,0,0,4,0,0,0
ENSGALG00000004821,1200,1584,907,2342,736,3352,1618,1040,1496,815,1272,1098
ENSGALG00000004820,21,13,6,8,0,4,3,5,15,12,7,11
ENSGALG00000004825,1903,2724,1455,2465,1374,4255,1831,1643,3153,1438,1811,2165
ENSGALG00000050464,0,0,0,0,0,0,0,0,3,0,0,0
ENSGALG00000050465,8,7,3,4,1,8,7,1,10,8,3,3
ENSGALG00000050466,0,0,0,2,0,1,0,0,0,1,0,0
ENSGALG00000050467,7,26,8,0,0,4,9,0,0,0,4,11
ENSGALG00000050460,10,80,13,62,0,49,23,62,19,8,10,9
ENSGALG00000050461,4,3,0,3,2,1,1,0,2,1,7,1
ENSGALG00000000302,0,0,0,0,0,0,0,0,0,0,13,0
ENSGALG00000050463,0,0,0,0,0,0,0,0,0,1,0,0
ENSGALG00000050468,12,14,3,5,8,8,0,0,0,3,0,6
ENSGALG00000050469,0,1,0,1,1,1,0,0,1,1,2,0
ENSGALG00000042439,5,7,4,23,0,55,7,6,4,4,19,14
ENSGALG00000042431,1,7,3,23,12,9,7,1,14,4,25,18
ENSGALG00000032156,1033,1113,591,1754,571,1945,995,829,1341,405,1170,1313
ENSGALG00000006469,3,1,0,0,0,1,0,0,2,2,1,7
ENSGALG00000006462,2054,3482,1592,2277,1446,5019,2071,1741,2814,1120,1909,2843
ENSGALG00000006461,1658,2201,1232,3687,1148,4886,2426,1705,2317,808,2364,2268
ENSGALG00000006460,228,340,207,247,169,350,101,356,243,339,208,237
ENSGALG00000006467,51,34,14,22,1,22,9,30,60,44,21,36
ENSGALG00000006465,319,653,317,544,167,929,405,282,524,226,303,474
ENSGALG00000003536,3055,4888,2110,4514,1865,6468,3269,3149,4319,1902,3105,3587
ENSGALG00000044591,1,1,0,1,0,1,0,0,0,1,1,1
ENSGALG00000044592,0,1,0,0,1,0,0,0,0,0,0,0
ENSGALG00000034876,215,1038,589,1285,437,1832,938,809,869,343,935,466
ENSGALG00000044599,115,249,67,430,94,420,218,97,240,121,143,291
ENSGALG00000044598,6,9,18,6,1,40,6,16,22,17,12,12
ENSGALG00000022827,0,0,0,1,0,0,0,0,1,0,0,0
ENSGALG00000042297,2642,4669,1816,2018,1263,4343,1544,1494,3809,2832,1640,1899
ENSGALG00000042293,5,1,0,8,5,8,0,0,1,1,7,9
ENSGALG00000043744,3094,5727,2621,5815,2096,6648,2977,3552,4588,2109,4428,4652
ENSGALG00000048998,1,1,0,1,1,1,0,1,1,1,1,1
ENSGALG00000039899,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000032847,2311,3409,1460,2184,1253,6357,2350,1540,4401,2439,1706,1714
ENSGALG00000039896,8,2,1,3,1,9,1,12,1,5,2,14
ENSGALG00000039897,1795,2995,1366,2336,1329,3803,2020,1725,2609,1042,1764,2475
ENSGALG00000032843,924,2326,1261,833,530,1470,564,603,1458,1502,1181,980
ENSGALG00000032840,598,548,327,736,278,1467,544,289,593,284,547,593
ENSGALG00000039893,3,2,1,15,1,6,2,0,4,1,4,5
ENSGALG00000048739,1,1,0,1,1,1,0,0,0,1,0,1
ENSGALG00000048738,2,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048731,14,17,6,36,5,18,6,0,36,0,9,6
ENSGALG00000048730,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048733,0,0,0,1,0,0,0,0,0,1,0,0
ENSGALG00000048732,2,4,0,10,0,1,0,0,7,6,0,2
ENSGALG00000048735,2,1,1,2,0,6,3,1,1,0,1,3
ENSGALG00000048734,26,43,22,75,0,54,30,40,27,23,11,5
ENSGALG00000048737,13,16,15,26,5,67,18,5,30,9,9,19
ENSGALG00000048736,56,53,57,54,23,133,39,30,185,55,63,80
ENSGALG00000030571,125,308,216,111,93,1104,108,91,143,144,49,66
ENSGALG00000038769,1,2,0,1,1,1,0,0,1,2,1,1
ENSGALG00000038768,2186,2498,1399,5636,2825,6180,6398,2477,7958,1723,4583,3325
ENSGALG00000030576,1,2,1,2,1,2,2,1,2,2,2,1
ENSGALG00000038767,2,12,2,0,3,3,0,0,14,4,1,3
ENSGALG00000038760,1004,202,60,1053,61,698,325,97,707,181,216,173
ENSGALG00000038763,5,0,0,1,0,1,0,0,0,0,1,0
ENSGALG00000003149,4550,6660,3018,3911,3323,10188,3508,3943,7320,5028,2171,3547
ENSGALG00000003148,505,506,388,442,289,751,300,399,358,209,416,340
ENSGALG00000003143,1259,1871,852,2257,881,3462,1772,1078,1406,778,1302,1444
ENSGALG00000003142,1,3,0,1,0,4,0,3,1,2,4,8
ENSGALG00000003147,2096,3714,1899,4954,1956,8137,3747,2618,3896,1758,2986,2612
ENSGALG00000003146,1096,1495,639,1583,826,1845,1270,869,1434,777,1416,1180
ENSGALG00000003144,990,1164,594,870,855,3777,612,525,1115,720,514,589
ENSGALG00000051656,1,1,1,1,1,1,1,1,1,1,1,1
ENSGALG00000026674,153,197,104,246,137,293,211,80,322,68,196,166
ENSGALG00000026675,0,2,0,1,0,0,0,0,1,1,1,1
ENSGALG00000026676,1,3,1,1,1,0,0,0,1,1,1,1
ENSGALG00000026677,130,152,118,67,53,718,129,71,184,88,73,92
ENSGALG00000026673,21,27,11,47,26,31,49,14,24,38,29,20
ENSGALG00000004106,919,1067,517,1202,620,2042,1024,989,1071,394,660,1226
ENSGALG00000026978,1196,3248,2082,1852,699,4788,1782,1535,1299,1105,1184,1933
ENSGALG00000040770,9423,14714,5940,12190,8158,18217,9894,8966,28972,12812,9713,10651
ENSGALG00000040773,270,502,183,290,195,296,206,211,369,398,251,274
ENSGALG00000020538,102,179,60,158,62,348,152,70,230,63,123,128
ENSGALG00000020534,255,405,191,982,404,697,561,297,978,348,601,421
ENSGALG00000048011,166,419,214,485,161,864,442,107,311,148,307,156
ENSGALG00000033001,1613,4194,1337,1674,1391,3040,1474,1195,2206,823,1060,1904
ENSGALG00000033002,1672,4325,2142,2641,1417,2841,1664,1905,3652,2081,2556,2148
ENSGALG00000026971,530,590,307,957,270,1781,803,464,509,244,547,543
ENSGALG00000033009,47,86,526,1741,942,2148,1379,48,72,44,1228,1206
ENSGALG00000026970,3917,6444,4466,4998,2489,11902,3321,1423,4626,2888,1317,1995
ENSGALG00000027071,0,0,1,1,1,1,0,0,4,1,1,1
ENSGALG00000027070,9888,17989,7481,9051,7615,12550,6862,6785,15789,12273,8416,10178
ENSGALG00000010909,44,30,17,41,16,80,12,6,62,7,29,45
ENSGALG00000010903,873,1326,502,1050,451,1590,687,561,671,429,864,591
ENSGALG00000010902,464,613,299,1154,393,1202,806,469,926,270,899,894
ENSGALG00000010901,544,585,270,318,266,397,293,140,282,203,264,262
ENSGALG00000010900,160,336,282,471,130,891,301,286,183,159,226,427
ENSGALG00000054756,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054757,78,131,59,153,73,259,113,85,165,88,107,102
ENSGALG00000054754,5,12,1,2,1,12,0,1,5,10,1,1
ENSGALG00000054755,0,0,4,14,0,8,4,0,5,0,0,0
ENSGALG00000054752,0,0,0,1,0,1,0,0,0,0,0,0
ENSGALG00000054753,1522,2483,1312,1219,1257,2467,1808,1207,2866,1929,1639,1534
ENSGALG00000054750,1,1,0,1,0,1,1,1,1,1,1,1
ENSGALG00000054751,8,6,0,3,1,1,0,0,28,1,5,0
ENSGALG00000054758,16,25,33,27,19,42,6,24,15,15,31,29
ENSGALG00000054759,434,570,273,674,281,1386,818,326,690,313,499,531
ENSGALG00000021665,503,633,298,650,315,1020,414,355,574,252,547,485
ENSGALG00000013287,35,9,0,10,0,0,0,0,6,5,3,3
ENSGALG00000023757,1215,2554,861,1124,809,1482,859,1160,1568,819,1085,1481
ENSGALG00000013281,332,333,135,653,374,711,294,454,530,274,211,308
ENSGALG00000024525,0,1,0,0,0,0,0,0,0,1,0,0
ENSGALG00000053199,1,3,2,3,1,1,2,1,5,7,3,1
ENSGALG00000053198,7,32,21,79,0,11,35,0,22,7,37,9
ENSGALG00000053191,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053190,0,0,0,1,0,5,0,0,0,2,0,9
ENSGALG00000053193,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053192,1,1,0,1,1,1,0,1,6,1,1,3
ENSGALG00000053195,0,1,0,13,0,0,0,0,0,8,0,0
ENSGALG00000053194,869,1227,578,1535,368,2408,1002,670,585,467,931,835
ENSGALG00000053197,0,0,0,0,0,0,0,0,6,0,8,0
ENSGALG00000053196,247,308,119,198,191,340,153,92,489,496,274,191
ENSGALG00000039406,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000012882,289,324,147,707,271,867,602,281,385,206,514,303
ENSGALG00000039403,121,182,72,118,31,342,104,59,119,84,34,45
ENSGALG00000012885,1446,1965,1060,3103,1071,3498,2793,1283,2887,1221,1835,1925
ENSGALG00000012886,79,131,87,99,39,112,95,88,157,66,91,62
ENSGALG00000012888,2070,3447,1490,3093,1203,4029,2313,2164,3025,1257,2475,2741
ENSGALG00000012889,801,1474,726,1707,529,2772,1192,708,1416,881,871,1056
ENSGALG00000039409,419,624,300,233,229,940,382,211,739,427,225,369
ENSGALG00000039408,1562,2625,1087,2127,1743,3464,2079,1831,3941,1948,2159,2026
ENSGALG00000009957,1385,1991,965,1081,824,2428,1315,1228,2510,1449,1101,1312
ENSGALG00000009954,561,544,409,943,323,1146,613,351,681,246,637,738
ENSGALG00000009955,37,28,13,50,28,55,69,31,51,12,51,83
ENSGALG00000009958,0,9,0,7,0,13,0,0,0,0,0,0
ENSGALG00000009959,545,692,286,773,474,1213,592,487,638,264,553,760
ENSGALG00000013420,122,187,139,152,72,783,124,87,199,60,122,152
ENSGALG00000016415,314,361,284,455,222,512,375,237,242,274,241,228
ENSGALG00000013422,3,6,7,7,6,43,6,0,3,6,7,7
ENSGALG00000016412,172,231,92,431,150,454,356,271,333,109,235,279
ENSGALG00000013427,1227,2290,856,2786,905,3018,1688,1481,1877,1137,2001,1494
ENSGALG00000016410,1371,2142,1303,2201,725,3854,1773,1133,1795,867,1550,1700
ENSGALG00000016419,536,806,417,1729,463,1516,860,533,1015,462,715,567
ENSGALG00000016418,495,1027,600,926,286,1891,725,440,664,393,579,682
ENSGALG00000015252,568,828,559,1143,440,1662,866,783,1019,287,748,828
ENSGALG00000025699,5,8,4,0,4,9,2,13,32,11,2,1
ENSGALG00000025693,1,2,1,1,0,0,0,0,0,1,1,0
ENSGALG00000025692,5,9,2,5,1,24,8,9,11,11,8,8
ENSGALG00000025697,1,1,0,1,0,0,0,1,1,0,1,0
ENSGALG00000025696,5,7,3,6,3,8,1,0,8,3,3,5
ENSGALG00000025695,3480,4940,1364,5798,1986,7463,5378,4157,5572,1525,3929,4055
ENSGALG00000025694,20,14,2,126,29,84,49,11,51,15,27,12
ENSGALG00000025349,0,0,0,1,0,1,0,0,0,1,0,0
ENSGALG00000025348,3,7,4,4,5,7,2,0,2,3,1,9
ENSGALG00000028520,688721,505465,35521,21895,397136,49260,16016,250856,29752,512654,21566,216626
ENSGALG00000028521,1,1,1,1,1,1,1,1,1,1,1,1
ENSGALG00000025345,4,4,1,4,3,6,1,1,6,4,2,2
ENSGALG00000025344,0,1,0,1,0,0,0,1,1,0,0,0
ENSGALG00000025343,0,0,0,0,0,0,0,0,1,1,0,0
ENSGALG00000025342,1,2,1,1,0,3,0,0,0,2,1,0
ENSGALG00000015144,428,697,361,1893,616,1604,1184,529,1172,406,1016,549
ENSGALG00000015145,1,5,7,49,1,16,6,3,15,14,21,6
ENSGALG00000015147,1,1,0,1,1,0,0,1,1,1,1,0
ENSGALG00000015140,9,1,0,0,0,1,0,0,6,0,0,9
ENSGALG00000015141,176,242,143,346,138,990,149,153,254,130,101,111
ENSGALG00000015142,743,972,618,1084,724,3537,767,852,1092,820,739,623
ENSGALG00000015143,464983,321764,6293,4781,417800,19500,329,331679,6731,265603,655,262124
ENSGALG00000015148,183,213,123,149,142,528,100,167,327,94,102,157
ENSGALG00000014819,1043,1722,873,2793,888,2522,2006,839,2190,1073,1522,1120
ENSGALG00000014818,325,570,277,285,257,433,256,168,603,234,319,367
ENSGALG00000014811,2185,3022,1828,3761,1258,9737,3513,2080,2399,1299,2224,2212
ENSGALG00000014810,221,276,105,642,305,816,634,164,589,141,428,256
ENSGALG00000014813,515,899,402,1373,385,1307,933,830,993,453,628,756
ENSGALG00000014812,371,771,418,808,1002,585,502,1046,541,173,644,323
ENSGALG00000051135,205,306,89,280,152,708,213,162,396,274,199,165
ENSGALG00000051134,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051137,1,1,0,1,1,2,12,0,1,1,1,1
ENSGALG00000051136,2,2,0,4,5,1,7,0,6,1,3,13
ENSGALG00000051131,0,0,0,0,0,0,0,1,0,2,0,0
ENSGALG00000051130,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051133,6,17,1,20,4,22,9,3,33,10,9,12
ENSGALG00000051132,0,0,0,0,0,0,0,0,0,0,1,0
ENSGALG00000051139,0,0,0,0,2,6,0,0,4,0,2,1
ENSGALG00000051138,7,10,7,8,8,6,22,2,13,14,8,7
ENSGALG00000001817,2869,4513,2186,4879,2185,8934,3633,2415,4922,2267,2987,2961
ENSGALG00000001816,2905,4223,1669,4143,2077,7780,3178,1935,4524,1905,2167,2924
ENSGALG00000001812,232,386,294,423,184,466,396,251,501,245,264,273
ENSGALG00000008330,206,396,181,261,132,431,295,110,204,103,241,283
ENSGALG00000008332,67,62,33,83,33,188,57,8,75,12,56,64
ENSGALG00000008335,1148,2408,1010,3196,936,4873,2219,1388,1767,837,1710,1610
ENSGALG00000008337,259,575,321,363,262,629,241,268,728,365,360,360
ENSGALG00000029695,3,4,0,0,9,28,0,0,0,2,0,6
ENSGALG00000029694,397,453,158,144,252,333,126,151,1078,417,229,307
ENSGALG00000029692,1,7,6,2,3,5,8,1,1,6,8,3
ENSGALG00000029691,1176,2175,940,723,424,1697,574,568,1268,904,863,1289
ENSGALG00000037493,56,76,60,79,56,63,29,51,101,58,57,63
ENSGALG00000010243,4404,4258,2839,4687,2641,11061,5548,4378,5354,1425,4343,6324
ENSGALG00000010244,1815,2213,1139,2199,634,3878,1140,1329,1551,764,1452,1860
ENSGALG00000010246,1672,2135,1059,1911,940,4487,1475,1160,1375,812,1124,1356
ENSGALG00000042184,742,1183,517,561,492,917,430,679,1166,892,705,894
ENSGALG00000005318,18,7,7,28,13,43,21,0,10,10,12,5
ENSGALG00000005319,78,305,104,455,89,345,147,133,200,35,279,163
ENSGALG00000050268,42,18,0,0,31,3,0,0,6,31,0,8
ENSGALG00000050269,205,292,130,411,146,937,309,66,209,173,244,185
ENSGALG00000000142,929,1006,494,1272,409,2061,518,472,1033,371,711,817
ENSGALG00000050263,0,0,0,1,0,0,0,0,0,0,0,0
ENSGALG00000050260,7,5,2,10,8,15,3,3,14,13,4,6
ENSGALG00000000141,10934,20015,7571,3306,2755,31677,3651,4451,6866,9239,2738,4957
ENSGALG00000000146,6004,10274,5019,9142,4412,17635,6596,5598,10895,5290,6870,6648
ENSGALG00000050267,1272,1673,751,999,892,1868,1207,866,3580,2113,924,1228
ENSGALG00000050264,40,147,31,48,37,190,63,46,55,21,37,50
ENSGALG00000050265,2,2,2,1,0,3,5,0,5,2,1,3
ENSGALG00000006663,9581,14391,7274,12488,6928,24324,10281,7330,15992,7680,8690,9744
ENSGALG00000006662,14,52,14,43,1,34,9,26,60,21,20,22
ENSGALG00000031958,73,119,56,113,50,158,70,0,224,55,64,69
ENSGALG00000006666,526,983,509,1309,562,1224,1010,1064,1328,381,1019,711
ENSGALG00000000498,1400,2566,813,1159,1166,3910,1438,2610,4204,2310,1413,1164
ENSGALG00000000497,9,22,11,3,1,22,1,0,6,4,1,9
ENSGALG00000043947,320,518,253,128,242,1500,219,344,311,468,50,168
ENSGALG00000009170,598,648,274,672,378,1199,543,497,559,278,367,626
ENSGALG00000009172,559,604,312,1101,369,938,608,355,809,364,652,509
ENSGALG00000009173,444,1796,565,549,304,1076,415,413,628,275,355,637
ENSGALG00000001369,45,31,9,3,13,1,1,0,9,18,3,19
ENSGALG00000009176,147,330,175,458,122,575,318,284,321,165,262,222
ENSGALG00000009177,953,1790,1036,1649,553,3928,1164,908,1575,822,1124,1259
ENSGALG00000009179,2739,2978,1357,2200,1356,6548,2123,2349,3079,1241,1592,2655
ENSGALG00000001366,575,1141,443,929,540,1373,563,618,1022,528,625,729
ENSGALG00000001363,568,756,385,844,442,1713,498,498,819,362,457,462
ENSGALG00000001362,707,934,372,488,443,1716,643,591,1159,419,453,796
ENSGALG00000036725,35,40,22,31,25,70,54,0,42,15,25,25
ENSGALG00000036728,746,700,147,494,1292,655,387,649,955,1749,476,588
ENSGALG00000035389,13,3,0,8,12,28,2,0,19,5,1,3
ENSGALG00000007203,2362,3698,1739,2130,1440,5934,2068,1244,3849,1485,1299,1983
ENSGALG00000007205,1167,1988,902,1291,765,3177,1786,1263,2651,983,1501,1344
ENSGALG00000047237,1,1,0,1,0,1,0,0,1,1,1,0
ENSGALG00000047236,0,0,0,1,0,0,0,0,0,0,0,0
ENSGALG00000047239,1,1,1,0,0,0,1,0,5,0,0,0
ENSGALG00000034475,3045,8981,3547,2812,2722,8993,3443,4002,7407,3665,2503,3909
ENSGALG00000034474,1,7,0,1,0,0,1,0,0,0,6,1
ENSGALG00000034473,1369,1528,860,1789,649,4241,1265,1212,1251,493,1004,1210
ENSGALG00000034478,30,103,54,10,29,510,5,26,36,89,9,26
ENSGALG00000000966,2519,5360,2057,3625,3108,5010,3577,2725,6514,2939,3122,3024
ENSGALG00000000962,369,534,253,358,189,691,336,396,550,244,242,322
ENSGALG00000046711,9,16,7,33,10,10,11,7,21,6,25,13
ENSGALG00000046710,2,0,0,1,1,1,1,0,0,1,1,1
ENSGALG00000046713,2,3,2,1,3,2,0,0,0,2,0,1
ENSGALG00000037929,726,1694,902,179,337,3062,333,247,570,854,213,310
ENSGALG00000046715,22,3,131,47,11,83,19,0,326,5,60,2
ENSGALG00000046714,57,137,103,174,86,221,58,131,126,66,63,118
ENSGALG00000046717,1,1,2,2,1,1,1,1,4,2,1,0
ENSGALG00000046716,1,2,1,1,0,1,0,1,1,1,1,0
ENSGALG00000032730,1506,2716,1232,1198,881,3790,1145,1142,3459,1492,1028,1449
ENSGALG00000046718,0,2,1,3,2,1,2,2,2,2,2,1
ENSGALG00000032732,1215,1601,957,2049,930,3391,1480,1131,1307,681,1551,1648
ENSGALG00000032734,1118,1888,1011,1926,675,2926,1151,1351,1047,730,1230,1920
ENSGALG00000032736,4833,3015,2227,3397,3559,10679,5533,1844,8190,3807,3352,4827
ENSGALG00000037925,71,233,111,143,57,125,56,27,164,101,150,121
ENSGALG00000015800,249,314,170,394,235,783,310,153,295,151,235,156
ENSGALG00000015803,2026,3114,1892,5179,1471,6966,3211,2250,2541,1825,3839,2383
ENSGALG00000015802,258,495,329,362,138,598,577,345,310,128,329,362
ENSGALG00000052329,21,73,21,23,30,0,33,0,34,59,25,42
ENSGALG00000052328,74,137,115,232,56,165,124,47,107,75,101,54
ENSGALG00000015807,172,308,126,381,107,539,149,133,298,113,206,231
ENSGALG00000015806,277,407,235,454,139,899,306,185,335,168,342,391
ENSGALG00000052325,2,2,1,2,4,0,1,0,2,1,1,1
ENSGALG00000015808,347,1084,458,504,301,1035,376,238,597,277,394,564
ENSGALG00000052327,17,15,6,6,42,6,4,16,16,28,5,6
ENSGALG00000052326,943,1340,466,348,384,1030,318,239,718,786,489,773
ENSGALG00000052321,1,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000052320,6,12,2,16,8,28,7,0,31,8,11,3
ENSGALG00000052323,0,4,0,0,0,0,3,0,2,1,2,0
ENSGALG00000052322,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000003433,61,67,35,58,58,308,37,39,30,18,30,36
ENSGALG00000003432,3,13,11,16,0,2,20,17,4,6,14,17
ENSGALG00000003430,284,459,209,348,123,869,274,191,295,176,296,378
ENSGALG00000003435,8,12,3,24,10,29,8,38,26,25,9,0
ENSGALG00000003434,410,441,148,702,290,921,618,421,492,202,509,477
ENSGALG00000031182,2314,3519,1833,2725,1391,4401,2604,1854,3464,1433,2148,2605
ENSGALG00000031183,4,11,1,4,6,10,8,1,19,4,5,14
ENSGALG00000003439,3116,6092,2246,2565,2167,6194,2504,3243,5707,1868,2679,3280
ENSGALG00000003438,62,141,109,133,71,569,127,59,145,55,78,115
ENSGALG00000031186,29,24,14,45,29,90,42,0,55,16,12,39
ENSGALG00000005872,482,804,339,554,206,1247,450,544,929,287,467,550
ENSGALG00000005878,1059,2982,1062,1524,1001,2171,1105,1833,2234,1396,1287,1787
ENSGALG00000034295,2,1,0,5,1,1,0,0,10,2,2,0
ENSGALG00000034294,1,0,3,8,1,0,6,11,40,0,9,11
ENSGALG00000034297,294,551,166,322,130,389,360,106,579,441,228,369
ENSGALG00000048977,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048976,39,7,61,15,33,67,3,12,94,37,69,153
ENSGALG00000048975,25,16,5,24,40,67,7,13,23,12,5,12
ENSGALG00000048974,2,1,1,2,2,11,2,2,2,4,1,2
ENSGALG00000048973,22,17,12,18,5,74,44,0,18,8,18,12
ENSGALG00000048972,49,45,41,72,7,60,52,0,46,30,80,52
ENSGALG00000048971,0,0,1,0,0,1,0,0,1,1,1,0
ENSGALG00000048970,1,0,0,1,1,0,0,1,1,1,1,1
ENSGALG00000048979,0,0,1,0,0,0,0,0,0,1,0,0
ENSGALG00000048978,0,1,0,3,0,0,0,1,0,0,0,0
ENSGALG00000051672,204,262,146,346,111,595,366,133,328,141,231,178
ENSGALG00000051673,1,1,0,1,1,1,1,0,1,1,1,0
ENSGALG00000051670,0,0,0,0,0,2,0,0,0,1,0,0
ENSGALG00000051671,2,5,1,5,1,2,1,0,2,2,1,1
ENSGALG00000051676,226,226,85,194,138,398,310,337,693,92,159,216
ENSGALG00000051677,9,21,10,18,15,33,10,10,11,17,11,6
ENSGALG00000051674,1838,3117,1359,1784,1464,3290,1609,1508,2848,1837,1526,2191
ENSGALG00000051675,8,12,3,5,2,60,8,0,14,17,3,3
ENSGALG00000040713,3162,5812,2667,3342,2808,7431,3132,3247,5672,3467,3043,3763
ENSGALG00000051678,16,7,16,54,11,26,41,0,48,17,29,7
ENSGALG00000040710,3,2,0,3,8,4,4,1,1,2,1,1
ENSGALG00000040716,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000044628,886,1837,899,1175,435,1924,754,838,1657,770,893,947
ENSGALG00000044620,3481,3919,2196,5797,2641,8657,5304,3314,4231,1844,3627,3911
ENSGALG00000044626,3,6,0,1,0,6,0,1,4,3,1,1
ENSGALG00000033126,1376,1885,1039,2682,888,3886,2380,1113,2123,798,1646,1595
ENSGALG00000033123,188,253,129,295,254,470,318,177,596,461,351,213
ENSGALG00000033120,1001,1676,975,1524,829,2966,1234,1071,1781,783,854,1239
ENSGALG00000026265,1,5,8,6,5,0,5,1,25,1,2,4
ENSGALG00000026264,23,70,12,9,15,63,9,3,86,44,13,38
ENSGALG00000026263,3,28,1,3,37,20,0,13,1,4,2,25
ENSGALG00000026261,1,3,0,0,0,5,0,0,1,1,2,0
ENSGALG00000033129,783,1045,475,1290,775,1721,891,574,1655,1608,1085,834
ENSGALG00000049592,1,1,0,1,0,2,0,0,3,0,0,0
ENSGALG00000049593,2235,3073,1624,3216,1631,5504,2372,2760,4036,1574,1685,2054
ENSGALG00000049590,2,2,0,2,4,1,3,1,2,2,1,1
ENSGALG00000049591,9,14,0,1,2,44,3,1,3,2,7,2
ENSGALG00000049596,28,46,14,28,16,36,22,51,49,14,41,43
ENSGALG00000049597,0,1,0,0,0,0,0,1,0,0,0,0
ENSGALG00000049594,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000049595,0,1,0,1,0,0,0,0,0,0,0,0
ENSGALG00000049598,0,1,0,3,1,2,1,1,0,2,1,0
ENSGALG00000049599,0,0,0,1,0,0,0,0,0,0,0,0
ENSGALG00000041390,107,215,135,70,1,87,30,121,117,117,113,170
ENSGALG00000041392,1,1,0,1,1,1,1,1,1,2,1,6
ENSGALG00000041397,56,61,33,136,55,154,77,42,97,63,60,61
