gene_id,UP_90_10_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_11_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_12_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_1_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_2_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_3_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_4_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_5_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_6_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_7_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_8_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_9_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out
ENSGALG00000036908,213,612,345,195,121,708,442,385,446,97,118,444
ENSGALG00000051708,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051709,0,28,14,31,0,5,15,0,0,0,0,0
ENSGALG00000051706,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051707,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051704,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051705,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051702,6,4,1,0,6,4,2,6,18,1,3,7
ENSGALG00000051703,8,3,0,0,2,10,0,0,0,2,0,11
ENSGALG00000051700,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051701,16,34,25,16,10,51,56,31,16,7,5,9
ENSGALG00000005108,1297,2015,1137,1626,620,4321,1982,1277,1899,621,915,1601
ENSGALG00000005105,4549,5944,4022,4629,1400,9816,4740,2860,4418,1837,2564,4828
ENSGALG00000005107,1082,1706,920,1040,475,1849,1151,1116,2358,491,850,1264
ENSGALG00000005103,537,741,386,504,219,820,682,459,837,178,308,666
ENSGALG00000005102,424,392,146,263,235,203,360,414,716,388,230,202
ENSGALG00000037052,28,83,38,34,29,46,23,29,26,22,14,42
ENSGALG00000037050,339,690,288,234,88,680,545,253,718,122,127,344
ENSGALG00000037051,955,1583,798,240,403,1425,530,632,1646,635,370,1418
ENSGALG00000045776,21,36,11,4,3,23,19,21,15,14,6,9
ENSGALG00000049428,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000049429,0,7,0,0,0,22,0,0,0,0,0,0
ENSGALG00000049426,200,676,239,186,66,272,304,264,429,205,192,370
ENSGALG00000049427,243,114,56,48,41,131,129,127,377,43,38,150
ENSGALG00000049424,230,233,169,84,40,272,269,227,380,64,93,263
ENSGALG00000049425,0,15,4,4,0,21,0,0,13,0,4,7
ENSGALG00000049422,33,60,25,22,7,140,20,18,84,15,13,37
ENSGALG00000049423,11,14,7,7,3,114,3,0,9,8,0,4
ENSGALG00000049420,39,68,45,53,18,90,57,6,41,9,26,68
ENSGALG00000049421,29,41,22,46,16,94,81,26,38,5,40,49
ENSGALG00000042462,86,172,102,37,24,101,47,74,148,60,52,79
ENSGALG00000042460,204,315,120,58,55,229,80,99,276,71,67,178
ENSGALG00000042469,1534,1790,843,1361,510,3872,1785,772,2014,403,701,1654
ENSGALG00000032108,8,11,8,3,9,22,11,0,15,6,15,13
ENSGALG00000006453,206522,257230,8133,2684,76476,14839,3258,74061,10573,147659,1300,106434
ENSGALG00000006456,461,777,507,660,137,1088,822,612,489,198,401,486
ENSGALG00000006457,2348,3435,1923,1326,751,3750,2241,1944,2924,814,912,2589
ENSGALG00000006454,41,11,9,0,4,0,0,0,19,11,0,5
ENSGALG00000006455,201,241,187,249,93,605,294,128,389,77,108,176
ENSGALG00000006459,403,695,400,383,128,798,321,209,519,191,266,485
ENSGALG00000015297,1307,1840,875,1094,573,2047,1476,1043,2311,716,778,1283
ENSGALG00000015293,7,0,0,0,0,0,0,10,28,0,0,0
ENSGALG00000042794,99,151,80,101,36,146,105,123,131,14,49,99
ENSGALG00000042797,1635,4558,1911,2456,1066,4819,2878,2321,3975,1282,2051,2669
ENSGALG00000042796,1956,3147,1533,1682,852,3387,1989,1448,2804,880,957,2150
ENSGALG00000042798,95,214,87,180,68,290,229,133,273,84,135,171
ENSGALG00000049570,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000041844,202,340,177,156,49,401,245,123,359,68,101,278
ENSGALG00000041845,40,78,28,48,8,106,24,9,101,30,29,30
ENSGALG00000041847,5,20,0,0,0,6,0,19,0,0,4,3
ENSGALG00000022850,351,675,283,244,169,544,300,176,748,289,186,367
ENSGALG00000021525,4211,6161,3217,2118,1911,6853,3013,3845,6789,2497,1264,3034
ENSGALG00000039843,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000032816,0,0,0,0,0,0,0,0,5,0,0,0
ENSGALG00000032819,1093,2324,1103,644,469,1605,884,1212,2112,687,628,1346
ENSGALG00000002229,1086,1495,826,814,410,2118,1484,877,932,317,807,760
ENSGALG00000053306,1,3,1,1,0,4,0,0,4,1,1,1
ENSGALG00000002225,788,1374,760,368,246,1203,466,404,1044,304,301,692
ENSGALG00000019941,0,5,0,0,0,6,0,0,0,0,0,2
ENSGALG00000002227,1493,2076,1212,2105,712,4297,2658,1020,2122,790,1200,1556
ENSGALG00000002223,5,0,0,0,0,0,0,0,5,0,0,0
ENSGALG00000002222,601,1206,511,627,230,1425,569,421,1103,308,358,731
ENSGALG00000039696,504,828,362,248,238,483,390,535,934,252,152,620
ENSGALG00000021314,16,0,0,11,8,9,13,0,96,0,14,0
ENSGALG00000038714,182,512,108,33,26,222,65,149,99,59,56,93
ENSGALG00000000241,700,819,363,941,386,1958,1692,632,1672,234,380,999
ENSGALG00000038710,157,191,86,166,39,242,132,38,238,20,70,170
ENSGALG00000050563,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000050562,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000050564,264,460,221,116,90,1560,180,90,253,89,46,150
ENSGALG00000003172,908,894,425,387,295,671,466,262,554,262,293,583
ENSGALG00000048298,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048299,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000003176,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000000247,270,457,266,496,176,677,592,153,731,156,279,301
ENSGALG00000003174,398,678,283,228,177,452,354,321,775,199,218,548
ENSGALG00000003175,28,58,9,22,8,69,26,7,27,7,17,36
ENSGALG00000048292,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048293,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048290,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048291,4,2,1,1,1,1,2,0,1,1,0,1
ENSGALG00000048296,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048297,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048294,2,1,8,2,1,4,3,0,4,0,1,0
ENSGALG00000048295,19,34,0,2,0,14,14,21,204,12,7,20
ENSGALG00000050569,3,3,10,1,1,10,3,0,3,7,2,3
ENSGALG00000023812,82,144,54,53,19,180,67,45,150,37,45,52
ENSGALG00000030526,192,217,92,190,64,400,228,182,212,109,101,243
ENSGALG00000023819,3,12,0,0,0,0,0,0,145,0,2,0
ENSGALG00000023818,45,129,48,26,10,32,22,14,86,19,11,35
ENSGALG00000003408,235,475,232,214,91,456,329,173,542,107,113,253
ENSGALG00000003409,3514,5094,2387,3741,2464,6535,7142,3981,14026,3149,2978,4257
ENSGALG00000047279,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000047278,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000047274,0,0,0,0,0,8,0,0,35,0,0,0
ENSGALG00000003400,153,237,117,155,88,499,294,93,324,58,82,165
ENSGALG00000027005,0,0,0,1,0,1,0,0,0,0,0,0
ENSGALG00000027000,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000022030,46,150,24,47,36,143,18,48,122,63,25,58
ENSGALG00000047270,30,35,21,0,8,57,7,0,38,13,0,3
ENSGALG00000047272,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054709,84,2,9,39,14,13,98,42,107,2,33,14
ENSGALG00000054708,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000010934,728,1070,661,634,297,1192,823,559,959,226,453,862
ENSGALG00000010935,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000010932,422,1035,408,298,174,760,356,502,686,216,233,494
ENSGALG00000010930,196,352,201,170,38,354,206,80,216,55,107,227
ENSGALG00000010931,50,30,6,17,7,50,30,35,26,10,9,25
ENSGALG00000054701,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054700,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054703,83,111,61,32,17,52,42,22,93,47,36,83
ENSGALG00000054702,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054705,0,0,0,1,0,0,0,0,0,0,0,0
ENSGALG00000054704,0,0,0,0,0,3,0,0,0,0,0,0
ENSGALG00000054707,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000010939,910,1335,631,732,359,1961,1477,1124,1653,232,391,1467
ENSGALG00000054304,338,315,84,128,114,249,123,67,301,115,63,201
ENSGALG00000003644,91,221,103,128,41,163,129,119,224,61,81,148
ENSGALG00000053160,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053161,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053162,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053163,48,48,24,72,20,139,93,100,90,10,29,58
ENSGALG00000053164,3,1,50,3,3,8,3,0,105,1,4,1
ENSGALG00000053165,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053166,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053167,446,633,284,709,164,889,452,182,762,256,396,477
ENSGALG00000053168,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053169,2,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000039434,545,842,398,757,203,1139,996,404,1252,237,446,598
ENSGALG00000039432,80,140,63,74,20,254,94,119,104,37,36,59
ENSGALG00000039433,665,95,0,460,1,344,1,0,337,43,103,154
ENSGALG00000016426,744,495,16,4,334,114,80,204,17,319,0,282
ENSGALG00000016427,1213,2195,1010,1115,497,2458,1175,1052,1947,761,810,1376
ENSGALG00000016424,967,1892,1010,1220,383,2163,1111,759,1389,304,577,1317
ENSGALG00000016425,222,341,209,81,74,217,123,177,330,62,73,224
ENSGALG00000016420,1252,1604,808,898,346,3442,1315,692,1047,462,481,964
ENSGALG00000016421,248,343,247,198,61,188,154,175,324,80,96,125
ENSGALG00000053919,42,23,9,10,22,94,21,0,37,20,9,20
ENSGALG00000017327,200,336,223,162,108,804,301,178,580,258,63,165
ENSGALG00000012505,60,60,25,22,19,49,50,69,203,9,21,65
ENSGALG00000009909,11,45,0,8,0,34,14,8,16,0,0,46
ENSGALG00000052419,0,0,0,3,0,0,0,0,0,0,0,0
ENSGALG00000052418,0,0,1,0,0,1,0,0,0,0,1,0
ENSGALG00000052417,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000052416,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000052415,0,0,0,0,0,3,0,0,0,0,0,0
ENSGALG00000052414,1,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000009905,387,556,342,407,145,747,542,408,449,129,220,344
ENSGALG00000009904,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000052411,2,2,1,2,0,1,2,1,1,1,2,1
ENSGALG00000009906,1234,1784,1033,1502,441,2967,1766,978,1732,425,852,1470
ENSGALG00000053910,0,0,0,0,0,6,2,0,3,0,0,0
ENSGALG00000012947,276,405,251,342,111,334,474,228,523,119,225,280
ENSGALG00000027789,76,228,133,46,47,268,56,76,148,86,55,179
ENSGALG00000027788,13604,24888,12233,12967,3581,19760,14971,9726,12862,5102,9084,17735
ENSGALG00000027783,0,0,0,0,0,1,0,0,0,0,1,0
ENSGALG00000028570,0,0,0,0,0,0,0,0,15,0,0,0
ENSGALG00000028573,115,347,144,54,42,218,94,98,174,61,68,197
ENSGALG00000027786,213,282,212,100,44,529,157,88,249,204,53,121
ENSGALG00000027785,0,18,0,0,0,0,0,0,35,0,0,5
ENSGALG00000025334,4,2,2,0,1,1,0,0,5,1,1,2
ENSGALG00000025335,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000025337,1772,1,0,1486,0,2098,728,0,0,0,365,444
ENSGALG00000025330,0,0,0,1,0,3,1,1,1,1,0,0
ENSGALG00000025331,1,0,2,3,1,10,11,9,7,0,2,0
ENSGALG00000025332,0,0,0,1,0,4,0,0,2,0,0,1
ENSGALG00000053916,310,947,61,245,6,131,273,0,246,168,25,57
ENSGALG00000025338,1,0,0,0,0,0,0,0,2,0,0,0
ENSGALG00000025339,188,93,95,134,32,337,194,93,119,19,53,100
ENSGALG00000013505,29933,47460,26266,45997,10932,67379,44805,24912,42846,14065,27913,43609
ENSGALG00000051148,48,87,74,40,0,69,49,0,105,46,37,63
ENSGALG00000051149,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051144,2082,3852,1606,1123,767,2878,1662,1621,3591,1505,1098,1972
ENSGALG00000051145,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051146,1614,3208,1949,1237,734,2322,1616,1577,3321,820,1200,2378
ENSGALG00000051147,12,13,5,26,4,34,47,4,32,0,10,15
ENSGALG00000051140,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051141,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051142,45,69,29,12,29,53,7,0,39,10,20,59
ENSGALG00000051143,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000040244,5796,8782,4024,3657,1760,10698,6436,3911,10399,2410,2660,5780
ENSGALG00000040247,635,1526,709,318,204,775,408,581,726,360,289,826
ENSGALG00000040241,857,994,485,980,591,1939,1254,767,2812,560,696,1022
ENSGALG00000040249,25,27,11,8,3,27,9,6,25,22,9,5
ENSGALG00000040248,311,504,284,236,116,680,426,370,822,128,139,419
ENSGALG00000001826,479,386,199,259,169,329,246,238,319,181,159,342
ENSGALG00000001824,16,41,13,2,11,6,34,14,31,13,4,23
ENSGALG00000001823,536,1104,558,314,189,766,288,557,700,157,218,554
ENSGALG00000001828,348,256,90,117,152,735,449,221,792,108,90,314
ENSGALG00000054266,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000046959,4,7,0,0,2,1,2,0,0,2,2,6
ENSGALG00000046958,1,1,1,1,0,2,1,0,2,1,1,0
ENSGALG00000000195,2676,3033,1560,1607,991,3391,1965,1742,2935,594,1041,3025
ENSGALG00000046956,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000046955,209,110,50,47,79,81,24,106,29,42,20,73
ENSGALG00000046954,0,0,0,0,0,0,0,0,5,0,0,0
ENSGALG00000046953,12,29,6,34,11,19,70,18,30,14,27,25
ENSGALG00000046952,61,64,31,40,38,192,65,42,82,12,11,37
ENSGALG00000046951,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000046950,25,42,27,30,23,110,98,22,164,41,15,44
ENSGALG00000010211,443,662,337,515,257,800,765,522,1134,255,398,878
ENSGALG00000010217,887,1557,691,726,366,1556,843,675,1682,430,455,919
ENSGALG00000010214,554,1054,615,555,245,1137,736,513,1462,333,350,586
ENSGALG00000010219,454,959,357,225,144,572,415,551,780,207,209,639
ENSGALG00000010218,103,123,45,56,23,104,56,86,102,27,42,61
ENSGALG00000008698,79,97,81,71,28,218,146,97,78,19,50,125
ENSGALG00000008691,243,324,151,159,59,447,394,213,289,63,134,267
ENSGALG00000008696,88,111,23,63,11,94,80,69,62,18,19,147
ENSGALG00000012457,14,10,0,14,0,0,11,0,27,4,7,5
ENSGALG00000005340,199,266,170,399,74,542,276,126,149,69,108,227
ENSGALG00000005347,106,104,51,88,7,171,145,45,440,26,102,133
ENSGALG00000005346,215,300,156,279,117,407,348,191,672,119,163,201
ENSGALG00000005345,67,92,71,41,27,108,46,83,81,7,36,65
ENSGALG00000025555,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000005349,11,14,0,0,0,42,0,0,26,0,0,10
ENSGALG00000012454,360,674,419,157,73,1253,199,161,331,149,54,333
ENSGALG00000012453,502,611,348,394,167,1136,579,382,634,184,202,589
ENSGALG00000025551,1,1,1,0,0,1,1,0,3,0,0,1
ENSGALG00000031928,609,1050,598,576,224,1520,704,617,1074,279,411,679
ENSGALG00000031929,84,58,33,31,3,156,142,64,220,13,11,139
ENSGALG00000031920,4,0,1,5,0,7,10,5,0,6,0,5
ENSGALG00000031922,273,339,182,282,60,550,256,188,315,81,124,193
ENSGALG00000006690,420,538,245,173,104,381,330,386,489,118,154,387
ENSGALG00000006691,1554,2699,1358,1001,624,3835,1219,1398,2171,549,715,1620
ENSGALG00000006693,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000006695,1072,1678,771,875,313,2685,1136,747,2026,459,522,1141
ENSGALG00000006697,1284,1833,937,1021,400,2102,1119,909,1322,345,600,1319
ENSGALG00000055131,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000055130,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000055133,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000055132,1,1,1,1,1,1,1,0,0,0,1,2
ENSGALG00000055135,22,32,20,16,0,41,10,0,32,14,12,28
ENSGALG00000000442,156,250,105,158,74,397,156,159,261,154,98,153
ENSGALG00000055137,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000055136,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000055139,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000055138,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000025559,0,0,0,1,0,1,0,0,1,0,0,0
ENSGALG00000009129,0,0,0,0,0,0,0,0,84,0,0,0
ENSGALG00000009128,127,192,136,128,57,434,239,110,284,60,91,170
ENSGALG00000037441,1318,2256,868,336,283,1422,545,975,1476,508,463,1090
ENSGALG00000037443,553,674,306,379,268,783,474,425,790,324,242,437
ENSGALG00000045362,0,43,0,4,0,0,9,28,139,0,11,0
ENSGALG00000001314,550,891,411,351,274,725,458,349,1088,366,156,402
ENSGALG00000001315,245,466,184,160,105,504,241,254,383,162,140,354
ENSGALG00000001316,125,139,118,67,26,194,66,13,223,22,46,102
ENSGALG00000001317,1358,2318,1265,1449,822,2431,1839,1349,3129,616,823,1640
ENSGALG00000001310,49,123,44,40,12,93,58,0,104,24,13,59
ENSGALG00000001311,247,549,229,309,128,350,332,188,587,196,290,298
ENSGALG00000001313,1308,2960,963,1033,863,5089,2781,1831,3573,544,1081,1411
ENSGALG00000001319,9878,9512,3792,5796,3746,12482,12047,7419,20034,2554,4065,14419
ENSGALG00000007878,677,1043,406,427,237,1061,667,417,516,213,252,615
ENSGALG00000007877,754,950,474,603,208,2044,685,533,1101,280,298,661
ENSGALG00000007874,40,74,55,64,37,381,84,18,58,15,26,82
ENSGALG00000049091,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000040724,5910,6446,4010,7825,2485,13637,11669,3525,9116,2069,3919,6719
ENSGALG00000049094,5,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000017299,5484,13573,4958,2265,1340,7450,3690,4276,7547,2606,2360,5146
ENSGALG00000017290,382,449,258,359,88,1010,472,217,548,101,150,474
ENSGALG00000017291,1334,850,415,559,339,2234,1327,771,1615,166,329,1775
ENSGALG00000017296,288,507,210,203,129,397,197,156,362,139,121,289
ENSGALG00000049099,0,0,0,2,0,0,0,0,0,0,0,0
ENSGALG00000017295,6,12,7,11,0,21,7,0,23,2,9,9
ENSGALG00000049098,0,0,0,0,0,0,0,0,13,0,0,0
ENSGALG00000007253,250,332,141,138,64,447,115,73,250,85,76,236
ENSGALG00000007252,167,245,139,198,31,286,128,129,197,49,61,173
ENSGALG00000007251,899,1455,576,449,251,1255,639,774,1058,366,408,636
ENSGALG00000007257,5,0,0,4,19,51,8,0,61,0,0,0
ENSGALG00000007254,823,1253,824,899,285,883,801,833,1106,314,625,1134
ENSGALG00000045985,0,2,2,2,0,0,0,0,3,0,2,0
ENSGALG00000045984,1,3,0,0,0,2,0,1,0,0,1,3
ENSGALG00000035352,558,1450,586,421,271,1193,433,465,952,406,297,744
ENSGALG00000035351,6,11,0,2,0,36,8,3,0,0,2,3
ENSGALG00000035350,4,18,6,5,0,10,3,0,2,8,3,7
ENSGALG00000043208,760,1441,910,741,288,1919,897,691,1113,407,491,781
ENSGALG00000043209,1034,913,471,661,526,1518,1566,993,3536,595,649,1177
ENSGALG00000043200,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000036710,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000036711,128,233,98,125,35,257,89,32,342,59,47,88
ENSGALG00000043204,219,583,426,480,223,676,556,256,954,171,304,437
ENSGALG00000036714,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000034406,1,1,0,1,4,53,1,1,98,0,7,21
ENSGALG00000044618,9,0,2,0,0,6,0,23,10,0,0,10
ENSGALG00000046188,0,19,0,0,0,0,0,0,0,0,0,22
ENSGALG00000002750,1968,2216,1068,2529,781,2982,2822,1539,2493,702,1514,2024
ENSGALG00000046187,620,797,462,555,190,2122,695,192,633,197,274,586
ENSGALG00000046180,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000004759,718,1104,619,653,324,1416,497,781,1086,309,439,759
ENSGALG00000004758,261,496,212,299,86,364,445,165,439,97,222,358
ENSGALG00000004756,224,301,179,194,75,387,128,147,194,57,140,203
ENSGALG00000004750,423,617,450,480,124,1442,569,335,570,169,222,435
ENSGALG00000048058,1,0,0,1,0,1,0,0,1,1,0,1
ENSGALG00000048059,0,17,0,6,0,1,0,0,0,1,0,1
ENSGALG00000040424,41,41,32,36,13,124,34,24,76,19,10,36
ENSGALG00000048050,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048051,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048052,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048053,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048054,1,2,5,4,0,2,3,0,1,1,0,4
ENSGALG00000048055,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048056,20,0,0,13,0,34,22,0,0,3,15,47
ENSGALG00000048057,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054948,17,21,0,36,7,21,50,0,72,0,6,38
ENSGALG00000043976,274,372,320,313,75,373,261,161,399,121,176,251
ENSGALG00000043971,222,308,149,72,71,234,92,0,273,202,80,192
ENSGALG00000032763,339,551,343,142,121,1036,257,269,599,182,139,283
ENSGALG00000032765,22,41,24,18,15,41,26,29,70,15,13,14
ENSGALG00000032768,759,1085,617,891,267,1175,818,589,1435,352,470,868
ENSGALG00000052354,6632,9180,5281,10276,2660,22960,12846,6600,13610,2612,4732,7641
ENSGALG00000052355,201,282,96,85,44,246,85,102,177,56,61,170
ENSGALG00000052356,0,0,0,4,0,0,0,0,0,0,0,0
ENSGALG00000052357,0,1,2,0,0,0,0,0,0,1,1,0
ENSGALG00000052350,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000052351,2,0,0,0,0,0,0,0,0,0,0,7
ENSGALG00000052352,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000052353,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000047275,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000003403,151,353,93,126,122,258,298,77,703,119,163,159
ENSGALG00000047277,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000047276,23,28,15,21,8,32,15,21,58,15,10,29
ENSGALG00000047271,15,18,94,21,5,41,10,0,16,10,30,26
ENSGALG00000052359,0,5,0,0,4,5,0,0,10,0,0,0
ENSGALG00000047273,496,992,414,286,169,622,299,281,635,277,192,509
ENSGALG00000003405,1684,3303,1388,1360,785,3039,2000,1591,3210,777,892,1953
ENSGALG00000030401,335,388,158,400,104,677,374,232,372,56,178,155
ENSGALG00000030405,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000030406,410,517,230,544,197,815,788,468,1102,163,326,404
ENSGALG00000030407,138,213,96,27,42,193,84,73,101,100,49,99
ENSGALG00000032496,514,972,472,516,280,849,666,646,1134,288,311,704
ENSGALG00000032499,263,476,250,280,116,866,335,181,1110,261,170,203
ENSGALG00000005808,227,198,65,130,54,391,137,131,358,47,84,210
ENSGALG00000005809,466,873,533,516,125,2415,534,296,610,191,230,424
ENSGALG00000005805,526,1107,515,497,183,1043,610,475,1224,248,259,513
ENSGALG00000005806,77,77,18,130,51,63,80,39,142,15,16,61
ENSGALG00000005807,1976,2501,1379,2378,675,6408,2717,1425,2054,654,1207,2130
ENSGALG00000005800,929,1440,660,1027,449,1643,1198,854,1573,408,675,990
ENSGALG00000005801,148,303,132,286,71,201,313,248,441,172,176,202
ENSGALG00000005802,1092,1785,935,836,393,1628,1150,560,1629,494,523,1051
ENSGALG00000005803,533,760,396,473,204,642,526,350,877,226,333,634
ENSGALG00000019336,149,204,136,135,43,582,215,98,158,66,80,111
ENSGALG00000019331,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000049093,0,0,0,0,0,0,0,0,5,0,0,0
ENSGALG00000049092,1,3,3,0,4,2,0,0,2,1,0,0
ENSGALG00000040720,561,409,142,369,355,713,984,402,2018,238,255,449
ENSGALG00000049090,21,35,9,6,6,23,20,14,21,4,6,18
ENSGALG00000049097,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000049096,31,32,17,30,17,56,76,32,84,35,34,39
ENSGALG00000049095,40,66,44,65,16,144,57,44,80,17,42,53
ENSGALG00000040725,114,208,105,115,42,332,132,99,206,62,81,156
ENSGALG00000040728,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000040729,29,44,28,26,13,41,27,31,53,21,19,20
ENSGALG00000044612,0,4,0,0,0,4,0,0,0,0,2,0
ENSGALG00000044610,502,614,197,203,171,158,156,278,123,290,192,175
ENSGALG00000048948,150,230,113,118,52,264,168,204,166,44,74,182
ENSGALG00000048949,1,1,0,1,0,2,1,0,2,1,0,0
ENSGALG00000048946,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048947,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048944,3,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048945,24,31,18,18,8,48,60,7,29,23,19,24
ENSGALG00000048942,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000048943,6,23,0,30,0,26,26,0,30,0,3,8
ENSGALG00000048940,65,81,76,29,7,91,0,6,88,21,5,49
ENSGALG00000048941,0,5,0,0,0,0,0,1,5,3,0,0
ENSGALG00000026255,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000026253,200,223,133,175,82,334,266,177,279,43,112,254
ENSGALG00000028039,1,7,2,1,0,3,4,2,3,0,0,3
ENSGALG00000026258,2116,1392,833,504,427,2176,787,1162,2926,852,596,1679
ENSGALG00000033179,490,670,342,509,153,1438,745,475,516,123,198,458
ENSGALG00000033178,436,744,302,382,116,1595,709,364,876,118,167,364
ENSGALG00000033171,419,984,439,10,83,2097,70,64,299,158,37,231
ENSGALG00000033170,203,329,159,185,56,417,213,216,335,105,76,173
ENSGALG00000033174,87,187,66,58,46,173,86,56,178,78,45,93
ENSGALG00000006867,718,1084,402,684,284,1281,723,422,1421,339,413,704
