gene_id,UP_90_10_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_11_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_12_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_1_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_2_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_3_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_4_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_5_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_6_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_7_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_8_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_9_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out
ENSGALG00000024481,65,132,100,56,22,165,65,44,98,21,50,85
ENSGALG00000024480,879,1694,662,667,361,1697,834,771,1302,323,376,984
ENSGALG00000024482,445,728,396,481,163,934,521,435,475,102,262,591
ENSGALG00000051161,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000027816,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053050,7,0,0,2,0,4,0,0,0,8,0,6
ENSGALG00000053051,0,0,0,0,0,5,0,0,0,0,0,0
ENSGALG00000053052,3,15,4,5,14,214,10,10,15,17,1,1
ENSGALG00000053053,0,8,2,5,0,0,0,0,7,3,0,0
ENSGALG00000053054,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053055,5,0,8,5,0,0,5,0,136,18,17,18
ENSGALG00000053056,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000053057,52,23,13,6,1,106,5,1,9,58,3,8
ENSGALG00000053058,470,1109,418,149,127,402,298,474,583,253,203,594
ENSGALG00000053059,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000016661,259,482,320,77,40,1253,104,198,285,134,52,121
ENSGALG00000016662,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000016664,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000016665,4191,3667,1151,1296,1543,5959,3607,3608,6534,776,493,5369
ENSGALG00000016667,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000016668,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000016669,0,0,4,0,0,0,0,0,20,0,9,0
ENSGALG00000046728,2,0,0,0,0,0,0,0,0,0,0,6
ENSGALG00000025464,107,58,37,138,20,208,48,29,57,26,18,40
ENSGALG00000025462,4,16,18,28,10,60,13,11,33,14,5,17
ENSGALG00000025468,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000025469,1,1,0,1,0,1,0,0,3,1,1,1
ENSGALG00000005369,397,726,291,336,142,885,565,434,609,148,263,469
ENSGALG00000027909,351,867,457,318,144,503,306,334,619,203,249,474
ENSGALG00000027908,668,848,534,1056,240,1498,1250,537,607,259,620,522
ENSGALG00000046974,21,5,5,11,0,57,10,23,39,8,4,26
ENSGALG00000027905,726,1081,325,289,240,1472,440,444,1206,314,204,504
ENSGALG00000027907,344,414,184,231,207,394,250,168,651,249,180,328
ENSGALG00000027900,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000027902,428,646,391,152,175,531,223,409,744,331,154,331
ENSGALG00000006197,932,1407,625,732,261,1887,941,762,1513,286,372,1107
ENSGALG00000054879,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054878,2,0,1,2,0,0,3,0,0,0,0,0
ENSGALG00000040511,229,117,81,184,77,430,279,122,228,58,93,269
ENSGALG00000028735,178,195,21,513,15,174,151,30,177,60,17,159
ENSGALG00000054873,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054872,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054871,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054870,78,104,60,0,0,144,0,51,0,0,0,98
ENSGALG00000040519,764,1798,886,547,297,1404,678,531,1367,659,538,944
ENSGALG00000054876,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054875,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054874,66,34,28,6,9,353,17,1,24,166,2,18
ENSGALG00000015311,198,210,131,290,107,367,214,73,453,103,183,215
ENSGALG00000015313,86,184,76,133,39,288,185,45,164,73,54,142
ENSGALG00000054210,27,61,27,41,17,71,38,27,35,13,30,32
ENSGALG00000015315,45,141,61,58,25,227,74,46,83,26,23,25
ENSGALG00000015314,102,205,72,170,72,782,206,168,348,110,110,179
ENSGALG00000015316,152,240,161,136,56,373,129,134,170,62,83,160
ENSGALG00000006192,95,93,30,128,21,214,85,106,89,15,70,132
ENSGALG00000046829,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000046828,332,493,262,124,128,344,192,237,380,141,164,362
ENSGALG00000046827,3,1,0,2,0,2,0,0,0,2,1,1
ENSGALG00000046826,178,260,86,105,70,285,149,92,429,147,91,125
ENSGALG00000046825,61,126,72,33,17,28,58,15,174,54,36,73
ENSGALG00000046824,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000046823,40,147,46,36,6,173,14,31,120,31,12,59
ENSGALG00000046822,0,4,0,0,0,0,0,0,0,0,0,0
ENSGALG00000046821,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000046820,0,5,0,4,0,0,0,0,0,0,0,0
ENSGALG00000046979,0,0,7,0,0,0,0,0,0,0,0,0
ENSGALG00000051346,1,0,1,1,1,1,0,0,0,1,0,0
ENSGALG00000051347,84,92,72,84,73,151,108,64,196,118,96,128
ENSGALG00000051344,0,16,0,0,0,0,0,0,2,0,0,0
ENSGALG00000051345,0,0,0,0,0,0,0,0,0,0,2,0
ENSGALG00000051342,89,103,18,81,23,574,56,28,257,130,37,38
ENSGALG00000051343,0,0,0,3,0,10,6,0,15,0,5,0
ENSGALG00000051340,25,55,22,49,11,114,60,54,57,8,16,31
ENSGALG00000051341,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051348,0,0,0,0,0,0,0,0,7,0,0,0
ENSGALG00000051349,10,50,5,4,4,7,7,1,53,14,4,14
ENSGALG00000010363,504,605,302,412,157,1245,525,316,877,276,291,493
ENSGALG00000010360,150,286,175,81,49,323,122,219,313,65,70,195
ENSGALG00000010364,171,138,114,112,69,215,106,53,418,88,58,151
ENSGALG00000051962,4,11,3,6,2,8,2,14,28,10,5,3
ENSGALG00000010094,1592,1946,842,783,610,1845,995,928,2837,777,617,1444
ENSGALG00000051960,6,6,3,8,0,15,15,9,10,3,0,2
ENSGALG00000051961,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000010091,705,1348,684,601,330,1472,984,950,1448,301,509,1170
ENSGALG00000051967,19,6,8,7,0,102,20,0,30,12,5,14
ENSGALG00000010093,183,268,105,163,70,456,255,86,295,90,120,222
ENSGALG00000051965,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051968,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051969,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000010098,651,309,148,101,212,735,496,405,1129,185,101,665
ENSGALG00000031812,102,127,40,63,25,150,65,67,63,25,41,76
ENSGALG00000031813,879,1829,827,587,404,1883,1004,648,1926,604,366,857
ENSGALG00000044342,152,246,165,171,71,292,237,232,223,78,87,166
ENSGALG00000055041,8,17,11,0,0,19,0,0,4,0,5,0
ENSGALG00000005544,11,5,6,3,0,8,0,0,0,3,2,1
ENSGALG00000005547,850,1320,556,284,235,1930,596,443,813,292,347,565
ENSGALG00000055042,0,2,0,9,0,10,9,0,0,0,5,6
ENSGALG00000055045,0,0,0,0,0,0,0,0,1,0,0,0
ENSGALG00000005540,923,800,352,343,206,1410,477,422,716,191,207,655
ENSGALG00000055047,42,64,26,28,0,75,0,0,152,41,14,47
ENSGALG00000055046,4,6,0,0,0,15,6,0,0,0,0,0
ENSGALG00000055049,0,0,0,0,0,0,0,0,2,0,0,0
ENSGALG00000003950,440,731,463,554,157,1201,707,340,671,169,361,684
ENSGALG00000005549,1150,1850,824,718,457,1353,941,868,1997,441,519,1372
ENSGALG00000000719,1473,3253,1353,872,584,4522,1527,1686,3234,956,666,1693
ENSGALG00000037315,395,840,368,378,145,1062,382,355,818,181,196,441
ENSGALG00000037314,413,993,481,385,171,561,388,301,729,254,298,514
ENSGALG00000045037,0,0,0,3,0,3,0,0,12,3,3,0
ENSGALG00000045036,7,11,7,4,0,19,8,13,15,8,4,4
ENSGALG00000045030,1,0,1,1,0,0,1,0,0,1,0,0
ENSGALG00000009670,551,750,325,485,195,912,653,346,788,268,330,677
ENSGALG00000009677,445,932,541,642,182,1698,807,405,739,163,313,653
ENSGALG00000009676,145,161,68,108,47,255,126,130,125,40,84,144
ENSGALG00000009674,1391,2214,1250,1444,436,2163,1266,997,1839,426,897,1848
ENSGALG00000047886,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000047887,0,0,0,0,0,0,0,0,0,0,0,0
